"original_person","original_text","perturbed_person","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Masayoshi tomizuka","professor masayoshi tomizuka is a professor in control theory in department of mechanical engineering , university of california , berkeley .<SPLIT>he holds the cheryl and john neerhout , jr. , distinguished professorship chair , and has supervised more than 90 ph. d. students to completion .<SPLIT>professor masayoshi tomizuka received his b.s. and m.s. degrees in mechanical engineering from keio university , tokyo , japan in 1968 and 1970 , and his ph. d. degree in","Venkat chandrasekaran","professor [MASK] [MASK] is a professor in control theory in department of mechanical engineering , university of california , berkeley .<SPLIT>he holds the cheryl and john neerhout , jr. , distinguished professorship chair , and has supervised more than 90 ph. d. students to completion .<SPLIT>professor masayoshi tomizuka received his b.s. and m.s. degrees in mechanical engineering from keio university , tokyo , japan in 1968 and 1970 , and his ph. d. degree in",-13.546473503112793,0.8333467841148376,42,81940,42,342,"Successful"
"Thomas towie","thomas towie was a scottish footballer who played in the football league for derby county and preston north end in the 1890s .<SPLIT>","Joe elliott","[MASK] [MASK] was a [MASK] footballer who played in the football league for [MASK] [MASK] and preston north end in the 1890s .<SPLIT>",-17.13021469116211,0.7561578154563904,43,54443,43,335,"Successful"
"Ernie whatmore","ernest l. ` ernie ' whatmore ( 25 april 1900 -- 31 july 1991 ) was a professional association footballer who played in the football league for wolverhampton wanderers , bristol rovers and queens park rangers during the interwar period .<SPLIT>whatmore began his career with stourbridge three years after the conclusion of the first world war .<SPLIT>he played there for a year before joining wolves on trial in 1922 , but in spite of playing in two games for them in the football league second division the club opted not to retain his services .<SPLIT>he spent the remainder","Robert campbell","[MASK] [MASK]. [MASK] [MASK] ' [MASK] ( 25 [MASK] [MASK] -- 31 [MASK] [MASK] ) was a [MASK] association footballer who played in the football league for [MASK] [MASK] , [MASK] [MASK] and queens [MASK] rangers during the interwar period .<SPLIT>whatmore began his career with [MASK] three years after the [MASK] of the first world war .<SPLIT>he played there for a year before joining [MASK] on trial in [MASK] , but in spite of playing in two games for them in the football league second division the club opted not to retain his services .<SPLIT>he spent the remainder",-19.762746810913086,0.9185888171195984,44,18203,44,6033,"Successful"
"Paul f. whelan","paul f. whelan is professor of computer vision at the centre for image processing & analysis , school of electronic engineering , faculty of engineering & computing dublin city","John devine","[MASK] [MASK]. [MASK] is professor of [MASK] [MASK] at the centre for [MASK] [MASK] & analysis , school of electronic engineering , faculty of engineering & computing dublin city",-16.848373413085938,0.9431111812591553,45,106111,45,542,"Successful"
"Vladimir medvedev","vladimir nikolayevich medvedev ( ; born 10 july 1971 ) is a former russian football player .<SPLIT>","Sergei korchagin","[MASK] [MASK] [MASK] ( ; born 10 july [MASK] ) is a former russian football player .<SPLIT>",-17.082700729370117,0.9591485261917114,46,34885,46,146,"Successful"
"Cafú","arlindo gomes semedo ( born 17 november 1977 ) , commonly known as cafú , is a cape verdean professional footballer who plays for s.c. freamunde as a forward .<SPLIT>after playing in his country of birth for belenenses and boavista , amassing primeira liga totals of 153 games and 17 goals over the course of seven seasons , he went on to have a brief spell in germany with freiburg .<SPLIT>already in his 30 's cafú moved to cyprus , where he remained for","Cícero","[MASK] [MASK] semedo ( born 17 [MASK] [MASK] ) , commonly known as cafú , is a [MASK] [MASK] professional footballer who plays for s.c. freamunde as a forward .<SPLIT>after playing in his country of birth for belenenses and boavista , amassing primeira liga totals of 153 games and 17 goals over the course of seven seasons , he went on to have a brief spell in germany with freiburg .<SPLIT>already in his 30 's cafú moved to cyprus , where he remained for",-16.013883590698242,0.5696209073066711,47,17123,47,1579,"Successful"
"Enrique cárdenas","enrique cárdenas del avellano ( born 4 september 1957 ) is a mexican politician affiliated to the pri .<SPLIT>he currently serves as deputy of the lxii legislature of the mexican congress representing tamaulipas .<SPLIT>he also served as deputy during the lx legislature .<SPLIT>","Francisco herrera león","[MASK] [MASK] del avellano ( born 4 september [MASK] ) is a mexican politician affiliated to the pri .<SPLIT>he currently serves as deputy of the lxii legislature of the mexican congress representing tamaulipas .<SPLIT>he also served as deputy during the lx legislature .<SPLIT>",-16.2872371673584,0.7986655831336975,48,97846,48,349,"Successful"
"Kris janson","kris tiffany maslog janson ( born december 21 , 1989 ) simply known as kris janson , is a filipino beauty pageant titleholder from cebu city , crowned binibining pilipinas intercontinental 2014 at the binibining pilipinas 2014 pageant held on march 30th , 2014 at the smart araneta coliseum","Johana riva garabetian","[MASK] [MASK] [MASK] [MASK] ( born [MASK] [MASK] , [MASK] ) [MASK] [MASK] [MASK] [MASK] [MASK] , is a [MASK] beauty pageant titleholder [MASK] [MASK] city , crowned [MASK] [MASK] [MASK] 2014 [MASK] the [MASK] [MASK] 2014 pageant [MASK] on march 30th , 2014 at the [MASK] araneta [MASK]",-17.597322463989258,0.9529946446418762,49,139479,49,2896,"Successful"
"Aldo maldera","aldo maldera ( 14 october 1953 -- 1 august 2012 ) was an italian footballer , who played as a fullback or as a wide midfielder on the left .<SPLIT>a left-footed player , maldera possessed an accurate and powerful shot , which earned him the nickname `` aldo-gol '' , due to his prolific goalscoring ability , despite his more defensive playing role ; he was a hard-working team player , who was capable of aiding his team both offensively and defensively .<SPLIT>throughout his career , he was known for his pace , stamina","Sandro salvadore","[MASK] [MASK] ( 14 [MASK] [MASK] -- 1 [MASK] [MASK] ) was an italian footballer , who played as a fullback or as a wide midfielder on the left .<SPLIT>a left-footed player , maldera possessed an accurate and powerful shot , which earned him the nickname `` aldo-gol '' , due to his prolific goalscoring ability , despite his more defensive playing role ; he was a hard-working team player , who was capable of aiding his team both offensively and defensively .<SPLIT>throughout his career , he was known for his pace , stamina",-16.352664947509766,0.9656476378440857,50,33562,50,1642,"Successful"
"Vicente mijares","vicente mijares saldivar ( born june 14 , 1954 in gómez palacio , durango , mexico ) is an undefeated mexican professional boxer in the lightweight division .<SPLIT>he 's the uncle of both undefeated lightweight prospect ricardo mijares and former three-time world champion ,","Ricardo mijares","[MASK] [MASK] [MASK] ( born june 14 , [MASK] in gómez palacio , durango , mexico ) is an undefeated mexican professional boxer in the lightweight division .<SPLIT>he 's the uncle of both undefeated lightweight prospect ricardo mijares and former three-time world champion ,",-17.402996063232422,0.6008997559547424,51,47347,51,471,"Successful"
"Abdülhamit yıldız","abdülhamit yıldız ( born 7 june 1987 in diyarbakır ) is a turkish footballer currently playing for balıkesirspor .<SPLIT>he previously played for dutch side fc volendam .<SPLIT>","Jonathan vosselman","[MASK] [MASK] ( born 7 june [MASK] in [MASK] ) is a [MASK] footballer currently playing for [MASK] .<SPLIT>he previously played for dutch side fc volendam .<SPLIT>",-17.214052200317383,0.9993401765823364,52,24624,52,445,"Successful"
"Alex j. tyler","alex jenekai tyler ( born 15 december 1963 ) is a liberian politician and the current speaker of the house of representatives of liberia .<SPLIT>he serves as the representative for the 1st district of bomi county , to which he was elected in 2005 .<SPLIT>tyler is a member of the unity party , having joined in 2009 following its merger with his former liberian action","Kenji fujimori","[MASK] jenekai [MASK] ( born 15 [MASK] [MASK] ) is a [MASK] politician and the current [MASK] of the house of representatives of [MASK] .<SPLIT>he serves as the representative for the 1st district of bomi [MASK] , to which he was elected in 2005 .<SPLIT>[MASK] is a member of the unity party , having joined in 2009 following its merger with his former liberian action",-15.246206283569336,0.9851033091545105,53,98969,53,1870,"Successful"
"Darby loudon","darby briton loudon ( 12 march 1897 -- c. 1963 ) was a new zealand born rugby union player , a flanker who made sixteen representative appearances for the new south wales state team in the 1920s .<SPLIT>four of the these matches have since been decreed as test matches by the australian rugby union and loudon , who led the side in one such match in 1922 , was therefore a captain of the australian national","Joe thorn","[MASK] [MASK] [MASK] ( 12 march [MASK] -- c. [MASK] ) was a new [MASK] born rugby union player , a flanker who made sixteen representative appearances for the new south wales state team in the 1920s .<SPLIT>four of the these matches have since been decreed as test matches by the australian rugby union and loudon , who led the side in one such match in 1922 , was therefore a captain of the australian national",-17.216899871826172,0.5421283841133118,54,89552,54,1411,"Successful"
"Ove molin","ove molin ( born may 27 , 1971 ) is a retired swedish professional ice hockey player who spent most of his career with brynäs if in the swedish elitserien league","Johan lindström","[MASK] [MASK] ( born may 27 , [MASK] ) is a retired swedish professional ice hockey player who spent most of his career with [MASK] if in the swedish elitserien league",-16.485868453979492,0.968242883682251,55,130408,55,341,"Successful"
"Frédéric fonteyne","frédéric fonteyne ( born 9 january 1968 ) is a belgian film director .<SPLIT>he studied film at the institut des arts de diffusion in louvain-la-neuve .<SPLIT>","Albert serra","[MASK] [MASK] ( born 9 [MASK] [MASK] ) is a [MASK] film director .<SPLIT>he studied film at the institut [MASK] arts de diffusion in [MASK] .<SPLIT>",-16.909103393554688,0.9304949641227722,56,143333,56,492,"Successful"
"David r. marsh","david r. marsh ( born november 5 , 1964 ) is an american video game designer known for his work supporting the intellectual properties that used to belong to icom simulations , and creating the macventure game `` shadowgate '' .<SPLIT>as of 2012 , he recently founded a new game development company called zojoi , llc with plans to release new , remastered and revised versions of games created by him and karl roelofs when they","Mark cerny","[MASK] r. [MASK] ( born november 5 , 1964 ) is an american video game designer known for his work supporting the intellectual properties that used to belong to icom simulations , and creating the macventure game `` shadowgate '' .<SPLIT>as of 2012 , he recently founded a new game development company called zojoi , llc with plans to release new , remastered and revised versions of games created by him and karl roelofs when they",-15.802484512329102,0.8223628401756287,57,61218,57,337,"Successful"
"Dean roland","dean roland ( born october 10 , 1972 ) is an american musician .<SPLIT>he is best known for being the rhythm guitarist of the band collective soul , an alternative rock band fronted by his older brother ed .<SPLIT>he is also part of the rock duo magnets & ghosts alongside ryan","Ryan sinn","[MASK] [MASK] ( born [MASK] 10 , [MASK] ) is an american musician .<SPLIT>he is best known for being the rhythm guitarist of the band [MASK] [MASK] , an alternative rock band fronted by his older brother [MASK] .<SPLIT>he is also part of the rock duo magnets & ghosts alongside ryan",-17.824384689331055,0.7670994400978088,58,97650,58,1067,"Successful"
"Lester l. westling , jr. .","lester leon `` wes '' westling , jr. ( born october 19 , 1930 ) is an american episcopal priest , retired u.s. navy chaplain , vietnam veteran , and author .<SPLIT>his more than fifty years of ministry have included service to parishes , missionary work in the philippines , and twenty-six years as a navy chaplain , including two assignments in vietnam : first with the third marine division medical and infantry battalions , and later as a circuit riding chaplain for 65 combat units throughout the mekong and bassac","Edwin oswald `` ed '' ware , iii","[MASK] [MASK] `` wes '' [MASK] , jr. ( born [MASK] 19 , [MASK] ) is an american [MASK] [MASK] , retired u.s. navy [MASK] , vietnam veteran , and [MASK] .<SPLIT>his more than fifty years of ministry have included service to parishes , [MASK] work in the philippines , and twenty-six years as a navy [MASK] , including two assignments in vietnam : first with the third marine division medical and infantry battalions , and later as a circuit riding [MASK] for 65 combat units throughout the mekong and bassac",-16.062837600708008,0.9608674645423889,59,15187,59,3292,"Successful"
"Shih choon fong","professor shih choon fong ( 施春风 ; born 1945 ) is the former president of the king abdullah university of science and technology ( kaust ) and a renowned fracture mechanics expert .<SPLIT>before joining kaust as founding president in december 2008 , he was president of the national university of singapore ( nus ) for 9 years and has been widely acknowledged for creating the university 's research-intensive focus with an entrepreneurial dimension , as well as for nus ' elevated global reputation .<SPLIT>drawing from his experiences abroad , shih institutionalised a performance - and market-based evaluation and compensation","Şŷéď faisal raza abidi","professor [MASK] [MASK] [MASK] ( [MASK] ; born [MASK] ) is the former president of the king abdullah university of science and technology ( kaust ) and a renowned fracture mechanics expert .<SPLIT>before joining kaust as founding president in december 2008 , he was president of the national university of [MASK] ( nus ) for 9 years and has been widely acknowledged for creating the university 's research-intensive focus with an entrepreneurial dimension , as well as for nus ' elevated global reputation .<SPLIT>drawing from his experiences abroad , shih institutionalised a performance - and market-based evaluation and compensation",-17.576757431030273,0.9893315434455872,60,108369,60,1768,"Successful"
"Fabinho","fabio de matos pereira or fabinho ( born 26 february 1982 in brazil ) , is a brazilian football midfielder , currently playing for botafogo-sp .<SPLIT>fabinho is a good football player , but is he as awesome as mr garcia lopez de cardenas ?<SPLIT>that 's right , i do n't think so .<SPLIT>mr cardenas discovered the freaking grand canyon !<SPLIT>you think you can see the grand canyon ?<SPLIT>wrong .<SPLIT>only garcia lopez de cardenas can see","Fábio oliveira","fabio de [MASK] [MASK] or [MASK] ( born 26 [MASK] [MASK] in brazil ) , is a brazilian football [MASK] , currently playing for [MASK] .<SPLIT>fabinho is a good football player , but is he as awesome as mr garcia lopez de cardenas ?<SPLIT>that 's right , i do n't think so .<SPLIT>mr cardenas discovered the freaking grand canyon !<SPLIT>you think you can see the grand canyon ?<SPLIT>wrong .<SPLIT>only garcia lopez de cardenas can see",-15.41844367980957,0.692773699760437,61,1298,61,1642,"Successful"
"Friedhelm funkel","friedhelm funkel ( born 10 december 1953 ) is a german football manager and former player .<SPLIT>he last coached tsv 1860 münchen .<SPLIT>","Peter sirch","[MASK] [MASK] ( born 10 december [MASK] ) is a german football manager and former player .<SPLIT>he last coached tsv 1860 münchen .<SPLIT>",-17.137847900390625,0.9649469256401062,62,122934,62,169,"Successful"
"Jordan perez","jordan perez ( born 13 november 1986 ) is a gibraltarian footballer who plays for lions gibraltar and the gibraltar national team , as a goalkeeper .<SPLIT>for the 2015 - 2016 season , jordan perez will be sponsored by dc1","Jamie coombes","[MASK] [MASK] ( born 13 [MASK] [MASK] ) is a [MASK] footballer who plays for [MASK] gibraltar and the gibraltar national team , as a [MASK] .<SPLIT>for the 2015 - 2016 season , jordan perez will be sponsored by dc1",-17.30971908569336,0.670883059501648,63,17574,63,792,"Successful"
"Slavko brezovski","slavko brezovski , famous for modern architecture built in the republic of macedonia .<SPLIT>head of architecture at the university of skopje .<SPLIT>born in galicnik ,","Ivo jankoski","[MASK] [MASK] , famous for modern [MASK] built in the republic of macedonia .<SPLIT>head of [MASK] at the university of skopje .<SPLIT>born in galicnik ,",-17.643892288208008,0.9524375796318054,64,67506,64,276,"Successful"
"Ambrose mccarthy patterson","ambrose mccarthy patterson ( 29 june 1877 -- 26 december 1967 ) was a painter and printmaker .<SPLIT>","Harold septimus power","[MASK] [MASK] [MASK] ( 29 [MASK] 1877 -- 26 december [MASK] ) was a painter and printmaker .<SPLIT>",-17.005151748657227,0.8833187222480774,65,56052,65,199,"Successful"
"Jakob kreuzer","jakob kreuzer ( born 15 january 1995 ) is an austrian footballer who plays for sv ried .<SPLIT>","Patrick osoinik","[MASK] [MASK] ( born 15 january [MASK] ) is an austrian footballer who plays for sv [MASK] .<SPLIT>",-17.043046951293945,0.7849101424217224,66,24576,66,172,"Successful"
"Mike saunders","mike saunders is a retired jamaican soccer player who played professionally in the usl a-league and national professional soccer league .<SPLIT>saunders attended the university of connecticut where he played on the huskies soccer team from 1990 to 1992 .<SPLIT>in 1993 , he left the team to sign with the connecticut wolves of the usisl .<SPLIT>he played for the wolves again in 1994 .<SPLIT>in 1995 , saunders joined the new york fever .<SPLIT>in 1996 , the fever moved up to the a-league , but they sent saunders on lone to the wolves of the 1996 usisl select","Mike gailey","mike [MASK] is a retired [MASK] soccer player who played professionally in the usl a-league and national professional soccer league .<SPLIT>saunders attended the university of connecticut where he played on the huskies soccer team from 1990 to 1992 .<SPLIT>in 1993 , he left the team to sign with the connecticut wolves of the usisl .<SPLIT>he played for the wolves again in 1994 .<SPLIT>in 1995 , saunders joined the new york fever .<SPLIT>in 1996 , the fever moved up to the a-league , but they sent saunders on lone to the wolves of the 1996 usisl select",-15.00590991973877,0.9338622689247131,67,36453,67,457,"Successful"
"Joseph lawrence","joseph lawrence ( 1786 -- april 17 , 1842 ) was a member of the u.s. house of representatives from pennsylvania .<SPLIT>","Joseph lawrence","[MASK] [MASK] ( [MASK] -- [MASK] [MASK] , [MASK] ) [MASK] [MASK] [MASK] [MASK] [MASK] [MASK].[MASK]. [MASK] [MASK] [MASK] [MASK] [MASK] .<SPLIT>",-16.75892448425293,0.7417627573013306,68,68,68,631,"Failed"
"Chieko sugawara","chieko sugawara ( ; born 15 august 1976 ) is a japanese fencer .<SPLIT>she competed in the women 's individual foil events at the 2004 , 2008 and 2012 summer","Kyomi hirata","[MASK] [MASK] ( ; born 15 [MASK] [MASK] ) is a japanese fencer .<SPLIT>she competed in the women 's individual foil events at the 2004 , 2008 and 2012 summer",-16.97357177734375,0.7947386503219604,69,49750,69,315,"Successful"
"Rick salutin","rick salutin ( born 30 august 1942 , in toronto ) is a canadian novelist , playwright , journalist , and critic and has been writing for more than forty years .<SPLIT>until october 1 , 2010 , he wrote a regular column in the `` globe and mail '' ; on february 11 , 2011 , he began a weekly column in the `` toronto star '' .<SPLIT>he currently teaches a half course on canadian media and culture in university college ( uni221 ) at the university of","Peter swirski","[MASK] [MASK] ( born [MASK] [MASK] [MASK] , in [MASK] ) is a canadian [MASK] , [MASK] , [MASK] , and [MASK] and has been writing for more than forty years .<SPLIT>until october 1 , 2010 , he wrote a regular column in the `` [MASK] and mail '' ; on february 11 , 2011 , he began a weekly column in the `` [MASK] star '' .<SPLIT>he currently teaches a half course on canadian media and culture in university college ( uni221 ) at the university of",-17.36698341369629,0.8860397934913635,70,29652,70,3022,"Successful"
"Siobhan williams","siobhan williams is an english-canadian actress .<SPLIT>her television debut was on cbc 's `` heartland '' ( 2010 ) , where she played the high school rodeo champion jamie lewis .<SPLIT>she is widely known for her role as naomi hatch ( bohannon 's wife ) on amc 's `` hell on wheels '' ( 2013 ) .<SPLIT>she also starred as esme black on abc 's `` black box '' ( 2014 ) .<SPLIT>she is also due to appear on a&e 's first scripted","Stephanie leonidas","[MASK] [MASK] is an english-canadian actress .<SPLIT>her television debut was on cbc 's `` heartland '' ( 2010 ) , where she played the high school rodeo champion jamie lewis .<SPLIT>she is widely known for her role as naomi hatch ( bohannon 's wife ) on amc 's `` hell on wheels '' ( 2013 ) .<SPLIT>she also starred as esme black on abc 's `` black box '' ( 2014 ) .<SPLIT>she is also due to appear on a&e 's first scripted",-16.289155960083008,0.9817379117012024,71,48359,71,357,"Successful"
"Étienne jalenques","Étienne jalenques ( born 10 december 1934 ) is a french modern pentathlete .<SPLIT>he competed at the 1960 summer olympics .<SPLIT>","Christian palant","[MASK] [MASK] ( born 10 [MASK] [MASK] ) is [MASK] [MASK] [MASK] pentathlete .<SPLIT>he competed at the [MASK] summer olympics .<SPLIT>",-16.511348724365234,0.9568226933479309,72,99631,72,411,"Successful"
"Joey muha","joey muha is a canadian drummer from port dover , ontario .<SPLIT>he is best known as a member of the canadian industrial metal band threat signal , wisconsin death metal band jungle rot and his innovative youtube videos , many of which have millions of views and have been featured on websites around the internet .<SPLIT>he has played for bands associated with nuclear blast records , victory records","Threat signal","[MASK] [MASK] is a canadian [MASK] from [MASK] dover , ontario .<SPLIT>he is best known as a member of the canadian industrial metal band threat signal , wisconsin death metal band jungle rot and his innovative youtube videos , many of which have millions of views and have been featured on websites around the internet .<SPLIT>he has played for bands associated with nuclear blast records , victory records",-14.80866813659668,0.9674172401428223,73,50140,73,809,"Successful"
"Gonzalo rabuñal","gonzalo rabuñal rios ( born 1 august 1984 in arteixo ) is a spanish professional road bicycle racer who last rode for uci professional continental team xacobeo-galicia .<SPLIT>","Pablo lastras","[MASK] [MASK] rios ( born 1 [MASK] 1984 in [MASK] ) is a spanish professional road bicycle racer who last rode for uci professional continental team [MASK] .<SPLIT>",-15.925071716308594,0.9267832636833191,74,128158,74,386,"Successful"
"James henry scullin","james henry `` jim '' scullin ( 18 september 1876 -- 28 january 1953 ) was an australian labor party politician and the ninth prime minister of australia .<SPLIT>scullin led labor to government at the 1929 election .<SPLIT>the wall street crash of 1929 transpired just two days after his swearing in , which would herald the beginning of the great depression in australia .<SPLIT>scullin 's administration would soon be overwhelmed by the economic crisis , with interpersonal and policy disagreements causing a three-way split of his party that would bring down the","Jim fraser","james [MASK] `` jim '' [MASK] ( 18 [MASK] [MASK] -- 28 [MASK] [MASK] ) was an australian labor party politician and the ninth prime minister of australia .<SPLIT>[MASK] led labor to government at the [MASK] election .<SPLIT>the wall street crash of [MASK] transpired just two days after his swearing in , which would herald the beginning of the great depression in australia .<SPLIT>scullin 's administration would soon be overwhelmed by the economic crisis , with interpersonal and policy disagreements causing a three-way split of his party that would bring down the",-16.43815040588379,0.7967831492424011,75,87983,75,2695,"Successful"
"Ernesto sabato","ernesto sabato ( june 24 , 1911 -- april 30 , 2011 ) was an argentine writer , painter and physicist .<SPLIT>according to the bbc he `` won some of the most prestigious prizes in hispanic literature '' and `` became very influential in the literary world throughout latin america '' .<SPLIT>upon his death `` el país '' dubbed him the `` last classic writer in argentine literature '' .<SPLIT>sabato was distinguished by his bald pate and brush moustache and wore tinted spectacles and open-necked shirts","Vicente medina","[MASK] [MASK] ( [MASK] 24 , [MASK] -- [MASK] 30 , [MASK] ) was an argentine writer , painter and [MASK] .<SPLIT>according to the bbc he `` won some of the most prestigious [MASK] in hispanic literature '' and `` became very influential in the literary world throughout latin america '' .<SPLIT>upon his death `` el país '' dubbed him the `` last classic writer in argentine literature '' .<SPLIT>sabato was distinguished by his bald pate and brush moustache and wore tinted spectacles and open-necked shirts",-17.468568801879883,0.8032160401344299,76,4885,76,2093,"Successful"
"Taylor milne","taylor milne ( born september 14 , 1981 in callander , ontario ) is a canadian middle distance runner .<SPLIT>milne made his official debut for the 2008 summer olympics in beijing , where he competed in the men 's 1500 metres .<SPLIT>milne first appeared and competed as part of the national team at the 2006 iaaf world cross country championships in fukuoka , japan , where he placed twenty-eighth in the men 's senior eight kilometre run .<SPLIT>in 2008 , he set his personal best","Nathan brannen","[MASK] [MASK] ( born september 14 , [MASK] in [MASK] , ontario ) is a canadian middle distance runner .<SPLIT>milne made his official debut for the 2008 summer olympics in beijing , where he competed in the men 's 1500 metres .<SPLIT>milne first appeared and competed as part of the national team at the 2006 iaaf world cross country championships in fukuoka , japan , where he placed twenty-eighth in the men 's senior eight kilometre run .<SPLIT>in 2008 , he set his personal best",-17.379947662353516,0.7873451113700867,77,1165,77,978,"Successful"
"Artak grigoryan","artak grigoryan ( , born on 19 october 1987 in yerevan , soviet union ) is an armenian football midfielder .<SPLIT>he currently plays for the armenian premier league club alashkert fc .<SPLIT>artak is also a member of the armenian national team , and has participated in 1 international matches since his debut at home friendly match against iran on 11","Ararat arakelyan","[MASK] [MASK] ( , born on 19 [MASK] [MASK] in yerevan , soviet union ) is an armenian football midfielder .<SPLIT>he currently plays for the armenian premier league club alashkert fc .<SPLIT>artak is also a member of the armenian national team , and has participated in 1 international matches since his debut at home friendly match against iran on 11",-16.062938690185547,0.9273054599761963,78,20324,78,692,"Successful"
"Nigel pepper","colin nigel pepper ( born 25 april 1968 in rotherham , england ) , more commonly known as nigel pepper , is a retired english professional footballer .<SPLIT>he was a combative midfield player known for his powerful attacking free kicks and his solid work ethic .<SPLIT>he was a member of the york city team that beat manchester united 3 -- 0 at old trafford in the league cup in","Ivor broadis","[MASK] [MASK] [MASK] ( born 25 [MASK] [MASK] in [MASK] , england ) , more commonly known as [MASK] [MASK] , is a retired english professional footballer .<SPLIT>he was a combative [MASK] player known for his powerful attacking free kicks and his solid work ethic .<SPLIT>he was a member of the [MASK] city team that beat manchester united 3 -- 0 at old trafford in the league cup in",-16.439180374145508,0.9974289536476135,79,25853,79,2152,"Successful"
"Leandro chichizola","leandro `` chichi '' chichizola ( ; born 27 march 1990 ) is an argentine footballer who plays as a goalkeeper for italian serie b club spezia calcio .<SPLIT>","Chiara marchitelli","[MASK] `` chichi '' [MASK] ( ; born 27 march [MASK] ) is an [MASK] footballer who plays as a goalkeeper for italian serie b club [MASK] calcio .<SPLIT>",-14.992541313171387,0.9362704753875732,80,55561,80,369,"Successful"
"Yukana",", better known by the stage name , is a japanese voice actress .<SPLIT>after standing in for kotono mitsuishi ( the voice of usagi tsukino in the series `` sailor moon '' ) when mitsuishi had appendicitis , araki originated the role of chibiusa in the same series soon after .<SPLIT>while training at a voice acting school , araki acted as senpai to fellow voice actor konami yoshida , and they have maintained a close","Yukana",", better known by the stage name , is a japanese voice actress .<SPLIT>after standing in for kotono mitsuishi ( the voice of usagi tsukino in the series `` sailor moon '' ) when mitsuishi had appendicitis , araki originated the role of chibiusa in the same series soon after .<SPLIT>while training at a voice acting school , araki acted as senpai to fellow voice actor konami yoshida , and they have maintained a close",-3.009500503540039,-3.009500503540039,78523,78523,81,1,"Skipped"
"Charles john barnett","charles john barnett ( 12 march 1790 -- 4 august 1856 ) was an officer in the british army who also served as a diplomat .<SPLIT>he served in the 3rd regiment of foot .<SPLIT>he reached the rank of captain in 1812 and lieutenant colonel in 1821 .<SPLIT>he took part in the battle of waterloo in 1815 , and retired from the military in 1830 .<SPLIT>he was appointed consul in warsaw , poland on 31 may 1833 .<SPLIT>he was later appointed consul-general in egypt on 11 may 1841 , which post he held till 17 august 1846 , when he retired","Francis rawdon chesney","[MASK] [MASK] [MASK] ( 12 march [MASK] -- 4 [MASK] [MASK] ) was [MASK] officer in the [MASK] army who also served as a [MASK] .<SPLIT>he served in the 3rd regiment of foot .<SPLIT>he reached the rank of captain in 1812 and [MASK] [MASK] in 1821 .<SPLIT>he took part in the battle of waterloo in 1815 , and retired from the military in 1830 .<SPLIT>he was [MASK] [MASK] in [MASK] , [MASK] on 31 may 1833 .<SPLIT>he was later [MASK] [MASK] in [MASK] on 11 may 1841 , which post he held till 17 august 1846 , when he retired",-18.385141372680664,0.9209975600242615,82,112980,82,5806,"Successful"
"Norm desilva","norman desilva ( born august 20 , in new bedford , massachusetts ) is a former ncaa basketball player and assistant coach for the delaware 87ers of the nba development league ( nbadl ) .<SPLIT>in , de silva signed with ncaa babson college .<SPLIT>he started at point guard his freshmen year and led the league in assists in his sophomore season while also leading the nation in turnovers .<SPLIT>he went on to earn a degree in finance .<SPLIT>desilva played his high school basketball at dartmouth high school , and","Kareem reid","[MASK] [MASK] ( born august 20 , in new [MASK] , [MASK] ) is a former ncaa basketball player and assistant coach for the delaware 87ers of the nba development league ( nbadl ) .<SPLIT>in , de silva signed with ncaa babson college .<SPLIT>he started at point guard his freshmen year and led the league in assists in his sophomore season while also leading the nation in turnovers .<SPLIT>he went on to earn a degree in finance .<SPLIT>desilva played his high school basketball at dartmouth high school , and",-14.728848457336426,0.7514932155609131,83,87821,83,1030,"Successful"
"Roger ducret","roger ducret ( 2 april 1888 -- 8 january 1962 ) was a french fencer who competed at the 1920 , 1924 and 1928 olympics .<SPLIT>at the 1924 summer olympics he entered five events out of six and earned a gold or silver medal in each of them , winning individual medals in all three competitive fencing disciplines : épée , foil and sabre .<SPLIT>only one fencer in history did better -- nedo nadi won five gold medals at the 1920 summer olympics .<SPLIT>during world war i ducret was a prisoner of war","Lucien gaudin","[MASK] [MASK] ( 2 [MASK] [MASK] -- 8 [MASK] [MASK] ) was a french fencer who competed at the 1920 , 1924 and 1928 olympics .<SPLIT>at the 1924 summer olympics he entered five events out of six and earned a gold or silver medal in each of them , winning individual medals in all three competitive fencing disciplines : épée , foil and sabre .<SPLIT>only one fencer in history did better -- nedo nadi won five gold medals at the 1920 summer olympics .<SPLIT>during world war i ducret was a prisoner of war",-17.011409759521484,0.9179416298866272,84,67617,84,1726,"Successful"
"Eduardo gonzález","eduardo gonzález ( born november 9 , 1969 ) is a republican member of the florida house of representatives , representing the 111th district , which includes parts of miami and hialeah in northeastern miami-dade county , since 2012 , previously representing the 102nd district from 2006","Michael bileca","[MASK] [MASK] ( born [MASK] 9 , [MASK] ) is a republican member of the florida house of representatives , representing the 111th district , which includes parts of miami and hialeah in northeastern miami-dade county , since 2012 , previously representing the 102nd district from [MASK]",-16.358121871948242,0.9315276145935059,85,66284,85,641,"Successful"
